,obj_id,vol_avg_dice,global_allres_sim,global_lowres_sim,global_masked_allres_sim,global_masked_lowres_sim,local_allres_sim,local_lowres_sim,local_masked_allres_sim,local_masked_lowres_sim,lesion_allres_sim,lesion_lowres_sim
215,BRATS_054.nii.gz_1,tensor(0.),"[61, 0]","[61, 0]","[58, 3]","[53, 8]","[61, 0]","[61, 0]","[39, 22]","[41, 20]","[24, 37]","[23, 38]"
216,BRATS_054.nii.gz_2,tensor(0.),"[48, 0]","[48, 0]","[42, 6]","[35, 13]","[48, 0]","[48, 0]","[35, 13]","[29, 19]","[12, 36]","[10, 38]"
217,BRATS_054.nii.gz_3,tensor(0.),"[43, 0]","[43, 0]","[22, 21]","[18, 25]","[43, 0]","[43, 0]","[28, 15]","[34, 9]","[10, 33]","[16, 27]"
218,BRATS_235.nii.gz_1,tensor(0.),"[55, 0]","[54, 1]","[52, 3]","[44, 11]","[55, 0]","[55, 0]","[31, 24]","[29, 26]","[12, 43]","[13, 42]"
219,BRATS_235.nii.gz_2,tensor(0.),"[46, 0]","[45, 1]","[28, 18]","[16, 30]","[46, 0]","[46, 0]","[11, 35]","[15, 31]","[9, 37]","[12, 34]"
220,BRATS_235.nii.gz_3,tensor(0.),"[46, 0]","[45, 1]","[37, 9]","[37, 9]","[46, 0]","[46, 0]","[35, 11]","[39, 7]","[10, 36]","[11, 35]"
221,BRATS_450.nii.gz_1,tensor(0.0724),"[48, 1]","[46, 3]","[29, 20]","[25, 24]","[49, 0]","[49, 0]","[40, 9]","[37, 12]","[20, 29]","[18, 31]"
222,BRATS_450.nii.gz_2,tensor(0.0434),"[29, 0]","[27, 2]","[15, 14]","[16, 13]","[29, 0]","[29, 0]","[17, 12]","[16, 13]","[13, 16]","[11, 18]"
223,BRATS_450.nii.gz_3,tensor(0.),"[33, 1]","[31, 3]","[27, 7]","[26, 8]","[34, 0]","[34, 0]","[25, 9]","[27, 7]","[16, 18]","[17, 17]"
224,BRATS_189.nii.gz_1,tensor(0.),"[63, 0]","[62, 1]","[42, 21]","[42, 21]","[63, 0]","[63, 0]","[40, 23]","[39, 24]","[19, 44]","[13, 50]"
225,BRATS_189.nii.gz_2,tensor(0.),"[45, 0]","[44, 1]","[9, 36]","[10, 35]","[45, 0]","[45, 0]","[24, 21]","[22, 23]","[6, 39]","[7, 38]"
226,BRATS_189.nii.gz_3,tensor(0.),"[21, 0]","[20, 1]","[4, 17]","[6, 15]","[21, 0]","[21, 0]","[14, 7]","[21, 0]","[3, 18]","[6, 15]"
227,BRATS_175.nii.gz_1,tensor(0.),"[35, 1]","[36, 0]","[23, 13]","[22, 14]","[36, 0]","[36, 0]","[31, 5]","[27, 9]","[11, 25]","[15, 21]"
228,BRATS_175.nii.gz_2,tensor(0.),"[16, 0]","[16, 0]","[6, 10]","[3, 13]","[16, 0]","[16, 0]","[7, 9]","[13, 3]","[2, 14]","[3, 13]"
229,BRATS_350.nii.gz_1,tensor(0.),"[65, 0]","[65, 0]","[56, 9]","[45, 20]","[65, 0]","[65, 0]","[51, 14]","[46, 19]","[12, 53]","[9, 56]"
230,BRATS_350.nii.gz_2,tensor(0.),"[50, 0]","[50, 0]","[18, 32]","[19, 31]","[50, 0]","[50, 0]","[16, 34]","[23, 27]","[8, 42]","[11, 39]"
231,BRATS_350.nii.gz_3,tensor(0.),"[57, 0]","[57, 0]","[40, 17]","[36, 21]","[57, 0]","[57, 0]","[24, 33]","[25, 32]","[9, 48]","[9, 48]"
232,BRATS_359.nii.gz_1,tensor(0.),"[33, 0]","[32, 1]","[33, 0]","[32, 1]","[33, 0]","[33, 0]","[29, 4]","[28, 5]","[20, 13]","[18, 15]"
233,BRATS_359.nii.gz_2,tensor(0.),"[11, 0]","[11, 0]","[2, 9]","[4, 7]","[11, 0]","[11, 0]","[3, 8]","[4, 7]","[3, 8]","[5, 6]"
234,BRATS_359.nii.gz_3,tensor(0.),"[11, 0]","[11, 0]","[6, 5]","[5, 6]","[11, 0]","[11, 0]","[4, 7]","[4, 7]","[3, 8]","[4, 7]"
235,BRATS_223.nii.gz_1,tensor(0.),"[80, 7]","[83, 4]","[85, 2]","[76, 11]","[87, 0]","[87, 0]","[68, 19]","[62, 25]","[34, 53]","[34, 53]"
236,BRATS_223.nii.gz_2,tensor(0.),"[66, 2]","[64, 4]","[48, 20]","[34, 34]","[68, 0]","[68, 0]","[37, 31]","[40, 28]","[12, 56]","[12, 56]"
237,BRATS_223.nii.gz_3,tensor(0.),"[34, 0]","[34, 0]","[18, 16]","[15, 19]","[34, 0]","[34, 0]","[23, 11]","[23, 11]","[10, 24]","[12, 22]"
238,BRATS_299.nii.gz_1,tensor(0.),"[43, 1]","[43, 1]","[22, 22]","[19, 25]","[44, 0]","[44, 0]","[20, 24]","[24, 20]","[6, 38]","[6, 38]"
239,BRATS_299.nii.gz_2,tensor(0.),"[34, 1]","[34, 1]","[9, 26]","[6, 29]","[35, 0]","[35, 0]","[11, 24]","[15, 20]","[7, 28]","[9, 26]"
240,BRATS_299.nii.gz_3,tensor(0.),"[36, 1]","[36, 1]","[21, 16]","[14, 23]","[37, 0]","[37, 0]","[14, 23]","[12, 25]","[6, 31]","[6, 31]"
241,BRATS_314.nii.gz_1,tensor(0.),"[60, 0]","[57, 3]","[45, 15]","[46, 14]","[60, 0]","[60, 0]","[45, 15]","[45, 15]","[26, 34]","[24, 36]"
242,BRATS_314.nii.gz_2,tensor(0.),"[57, 0]","[54, 3]","[35, 22]","[33, 24]","[57, 0]","[57, 0]","[41, 16]","[34, 23]","[35, 22]","[27, 30]"
243,BRATS_314.nii.gz_3,tensor(0.),"[53, 0]","[50, 3]","[38, 15]","[29, 24]","[53, 0]","[53, 0]","[27, 26]","[22, 31]","[21, 32]","[16, 37]"
244,BRATS_351.nii.gz_1,tensor(0.),"[63, 0]","[62, 1]","[53, 10]","[54, 9]","[63, 0]","[63, 0]","[50, 13]","[47, 16]","[27, 36]","[24, 39]"
245,BRATS_351.nii.gz_2,tensor(0.),"[26, 0]","[25, 1]","[10, 16]","[9, 17]","[26, 0]","[26, 0]","[10, 16]","[10, 16]","[5, 21]","[8, 18]"
246,BRATS_351.nii.gz_3,tensor(0.),"[28, 0]","[27, 1]","[13, 15]","[15, 13]","[28, 0]","[28, 0]","[15, 13]","[14, 14]","[9, 19]","[11, 17]"
247,BRATS_230.nii.gz_1,tensor(0.),"[40, 0]","[39, 1]","[31, 9]","[30, 10]","[40, 0]","[40, 0]","[23, 17]","[22, 18]","[8, 32]","[8, 32]"
